Points_0,Points_1,Points_2,vel1,vel2
0.5,0.509804,0,-0.0592379,0.0250759
0.5,0.513726,0,-0.05917,0.0256714
0.5,0.517647,0,-0.0590721,0.0262699
0.5,0.521569,0,-0.0589446,0.0268709
0.5,0.52549,0,-0.0587868,0.0274739
0.5,0.529412,0,-0.0585992,0.0280786
0.5,0.533333,0,-0.0583811,0.0286845
0.5,0.537255,0,-0.0581331,0.0292912
0.5,0.541176,0,-0.0578546,0.0298982
0.5,0.545098,0,-0.0575464,0.030505
0.5,0.54902,0,-0.0572078,0.0311111
0.5,0.552941,0,-0.0568396,0.0317162
0.5,0.556863,0,-0.0564413,0.0323196
0.5,0.560784,0,-0.056014,0.032921
0.5,0.564706,0,-0.0555568,0.0335198
0.5,0.568627,0,-0.0550712,0.0341156
0.5,0.572549,0,-0.0545563,0.0347078
0.5,0.576471,0,-0.0540136,0.0352959
0.5,0.580392,0,-0.0534423,0.0358795
0.5,0.584314,0,-0.0528441,0.036458
0.5,0.588235,0,-0.0522181,0.037031
0.5,0.592157,0,-0.051566,0.037598
0.5,0.596078,0,-0.0508871,0.0381584
0.5,0.6,0,-0.0501833,0.0387117
0.5,0.603922,0,-0.0494536,0.0392575
0.5,0.607843,0,-0.0487003,0.0397953
0.5,0.611765,0,-0.0479222,0.0403246
0.5,0.615686,0,-0.0471218,0.0408448
0.5,0.619608,0,-0.0462978,0.0413556
0.5,0.623529,0,-0.0454531,0.0418564
0.5,0.627451,0,-0.044586,0.0423468
0.5,0.631373,0,-0.0436997,0.0428262
0.5,0.635294,0,-0.0427924,0.0432943
0.5,0.639216,0,-0.0418677,0.0437505
0.5,0.643137,0,-0.0409234,0.0441944
0.5,0.647059,0,-0.0399635,0.0446257
0.5,0.65098,0,-0.0389853,0.0450437
0.5,0.654902,0,-0.0379934,0.0454481
0.5,0.658824,0,-0.0369848,0.0458385
0.5,0.662745,0,-0.0359644,0.0462144
0.5,0.666667,0,-0.0349285,0.0465755
0.5,0.670588,0,-0.033883,0.0469213
0.5,0.67451,0,-0.0328233,0.0472514
0.5,0.678431,0,-0.031756,0.0475654
0.5,0.682353,0,-0.0306756,0.0478629
0.5,0.686275,0,-0.0295895,0.0481436
0.5,0.690196,0,-0.0284913,0.0484071
0.5,0.694118,0,-0.0273891,0.048653
0.5,0.698039,0,-0.0262753,0.0488809
0.5,0.701961,0,-0.0251589,0.0490904
0.5,0.705882,0,-0.0240308,0.0492813
0.5,0.709804,0,-0.0229011,0.0494532
0.5,0.713726,0,-0.0217585,0.0496056
