Points_0,Points_1,Points_2,vel1,vel2
0.517647,0.5,0,-0.0621705,0.0199709
0.521569,0.5,0,-0.0627485,0.0192503
0.52549,0.5,0,-0.063325,0.0185116
0.529412,0.5,0,-0.0638998,0.0177545
0.533333,0.5,0,-0.0644726,0.0169788
0.537255,0.5,0,-0.065043,0.0161841
0.541176,0.5,0,-0.0656109,0.0153705
0.545098,0.5,0,-0.0661759,0.0145374
0.54902,0.5,0,-0.0667377,0.0136849
0.552941,0.5,0,-0.0672959,0.0128126
0.556863,0.5,0,-0.0678502,0.0119204
0.560784,0.5,0,-0.0684001,0.0110081
0.564706,0.5,0,-0.0689453,0.0100756
0.568627,0.5,0,-0.0694854,0.00912265
0.572549,0.5,0,-0.0700199,0.00814927
0.576471,0.5,0,-0.0705484,0.00715524
0.580392,0.5,0,-0.0710703,0.00614059
0.584314,0.5,0,-0.0715853,0.00510516
0.588235,0.5,0,-0.0720927,0.00404905
0.592157,0.5,0,-0.072592,0.00297213
0.596078,0.5,0,-0.0730826,0.00187457
0.6,0.5,0,-0.0735641,0.000756279
0.603922,0.5,0,-0.0740357,-0.000382484
0.607843,0.5,0,-0.0744968,-0.00154175
0.611765,0.5,0,-0.0749467,-0.00272117
0.615686,0.5,0,-0.0753849,-0.00392073
0.619608,0.5,0,-0.0758105,-0.00513998
0.623529,0.5,0,-0.0762228,-0.00637884
0.627451,0.5,0,-0.0766211,-0.00763674
0.631373,0.5,0,-0.0770046,-0.00891352
0.635294,0.5,0,-0.0773725,-0.0102085
0.639216,0.5,0,-0.077724,-0.0115215
0.643137,0.5,0,-0.0780582,-0.0128516
0.647059,0.5,0,-0.0783742,-0.0141986
0.65098,0.5,0,-0.0786711,-0.0155615
0.654902,0.5,0,-0.078948,-0.0169398
0.658824,0.5,0,-0.079204,-0.0183325
0.662745,0.5,0,-0.079438,-0.0197391
0.666667,0.5,0,-0.0796491,-0.0211583
0.670588,0.5,0,-0.0798363,-0.0225895
0.67451,0.5,0,-0.0799985,-0.0240311
0.678431,0.5,0,-0.0801347,-0.0254827
0.682353,0.5,0,-0.0802438,-0.0269422
0.686275,0.5,0,-0.0803247,-0.0284093
0.690196,0.5,0,-0.0803763,-0.0298817
0.694118,0.5,0,-0.0803975,-0.0313589
0.698039,0.5,0,-0.0803872,-0.0328382
0.701961,0.5,0,-0.0803443,-0.0343193
0.705882,0.5,0,-0.0802675,-0.0357991
0.709804,0.5,0,-0.0801559,-0.0372773
0.713726,0.5,0,-0.0800081,-0.0387503
0.717647,0.5,0,-0.0798232,-0.040218
0.721569,0.5,0,-0.0795999,-0.0416763
0.72549,0.5,0,-0.0793371,-0.0431253
0.729412,0.5,0,-0.0790338,-0.0445601
0.733333,0.5,0,-0.0786888,-0.0459813
0.737255,0.5,0,-0.0783011,-0.0473832
0.741176,0.5,0,-0.0778696,-0.0487668
0.745098,0.5,0,-0.0773934,-0.0501254
0.74902,0.5,0,-0.0768714,-0.0514609
0.752941,0.5,0,-0.0763028,-0.0527652
0.756863,0.5,0,-0.0756867,-0.0540414
0.760784,0.5,0,-0.0750222,-0.0552796
