-1.32530129	0.012448133
-1.058834775	0.017427386
-0.822915044	0.025726141
-0.709734751	0.036514523
-0.606453486	0.053941909
-0.533761489	0.073858921
-0.450660643	0.097095436
-0.367687253	0.117842324
-0.284798833	0.136929461
-0.202207809	0.150207469
-0.0480294	0.161825726
0.095442765	0.164315353
0.217672383	0.15186722
0.298861399	0.137759336
0.369769023	0.122821577
0.42011386	0.106224066
0.480697605	0.089626556
0.541153895	0.070539419
0.621960546	0.048962656
0.71338847	0.034854772
0.866462266	0.024896266
1.060661635	0.018257261
1.347096144	0.013278008
