Points_0,Points_1,Points_2,vel1
0.5,0,0,0.128128
0.5,0.0182927,0,0.278543
0.5,0.0304878,0,0.487773
0.5,0.0426829,0,0.616024
0.5,0.054878,0,0.77915
0.5,0.0670732,0,0.882687
0.5,0.0792683,0,1.00915
0.5,0.0914634,0,1.09088
0.5,0.103659,0,1.18826
0.5,0.115854,0,1.25181
0.5,0.128049,0,1.3261
0.5,0.140244,0,1.37482
0.5,0.152439,0,1.43082
0.5,0.164634,0,1.46757
0.5,0.176829,0,1.50914
0.5,0.189024,0,1.53636
0.5,0.20122,0,1.56662
0.5,0.213415,0,1.58634
0.5,0.22561,0,1.60787
0.5,0.237805,0,1.62179
0.5,0.25,0,1.63668
0.5,0.262195,0,1.64618
0.5,0.27439,0,1.65613
0.5,0.286585,0,1.66238
0.5,0.298781,0,1.66874
0.5,0.310976,0,1.67265
0.5,0.323171,0,1.67651
0.5,0.335366,0,1.67881
0.5,0.347561,0,1.68099
0.5,0.359756,0,1.68225
0.5,0.371951,0,1.68336
0.5,0.384146,0,1.68398
0.5,0.396341,0,1.68449
0.5,0.408537,0,1.68476
0.5,0.420732,0,1.68495
0.5,0.432927,0,1.68507
0.5,0.445122,0,1.68517
0.5,0.457317,0,1.68524
0.5,0.469512,0,1.6853
0.5,0.481707,0,1.68534
0.5,0.493902,0,1.68536
0.5,0.506098,0,1.68536
0.5,0.518293,0,1.68534
0.5,0.530488,0,1.6853
0.5,0.542683,0,1.68524
0.5,0.554878,0,1.68517
0.5,0.567073,0,1.68507
0.5,0.579268,0,1.68495
0.5,0.591463,0,1.68476
0.5,0.603659,0,1.68449
0.5,0.615854,0,1.68398
0.5,0.628049,0,1.68336
0.5,0.640244,0,1.68225
0.5,0.652439,0,1.68099
0.5,0.664634,0,1.67881
0.5,0.676829,0,1.67651
0.5,0.689024,0,1.67265
0.5,0.701219,0,1.66874
0.5,0.713415,0,1.66238
0.5,0.72561,0,1.65613
0.5,0.737805,0,1.64618
0.5,0.75,0,1.63668
0.5,0.762195,0,1.62179
0.5,0.77439,0,1.60788
0.5,0.786585,0,1.58634
0.5,0.798781,0,1.56662
0.5,0.810976,0,1.53636
0.5,0.823171,0,1.50914
0.5,0.835366,0,1.46757
0.5,0.847561,0,1.43082
0.5,0.859756,0,1.37482
0.5,0.871951,0,1.32611
0.5,0.884146,0,1.25181
0.5,0.896341,0,1.18827
0.5,0.908537,0,1.09088
0.5,0.920732,0,1.00917
0.5,0.932927,0,0.88268
0.5,0.945122,0,0.779157
0.5,0.957317,0,0.616
0.5,0.969512,0,0.487768
0.5,0.981707,0,0.278502
0.5,1,0,nan
