Points_0,Points_1,Points_2,vel1
0.5,0,0,0.0226916
0.5,0.0182927,0,0.0583759
0.5,0.0304878,0,0.101109
0.5,0.0426829,0,0.134514
0.5,0.054878,0,0.174312
0.5,0.0670732,0,0.205431
0.5,0.0792683,0,0.242348
0.5,0.0914634,0,0.271215
0.5,0.103659,0,0.305313
0.5,0.115854,0,0.331967
0.5,0.128049,0,0.363308
0.5,0.140244,0,0.387789
0.5,0.152439,0,0.416437
0.5,0.164634,0,0.438789
0.5,0.176829,0,0.46481
0.5,0.189024,0,0.485079
0.5,0.20122,0,0.508542
0.5,0.213415,0,0.526776
0.5,0.22561,0,0.547752
0.5,0.237805,0,0.564004
0.5,0.25,0,0.582569
0.5,0.262195,0,0.596895
0.5,0.27439,0,0.613127
0.5,0.286585,0,0.625587
0.5,0.298781,0,0.639569
0.5,0.310976,0,0.65023
0.5,0.323171,0,0.662052
0.5,0.335366,0,0.670983
0.5,0.347561,0,0.680743
0.5,0.359756,0,0.688023
0.5,0.371951,0,0.695825
0.5,0.384146,0,0.701541
0.5,0.396341,0,0.707505
0.5,0.408537,0,0.711756
0.5,0.420732,0,0.716015
0.5,0.432927,0,0.718917
0.5,0.445122,0,0.721631
0.5,0.457317,0,0.723326
0.5,0.469512,0,0.724694
0.5,0.481707,0,0.725375
0.5,0.493902,0,0.725687
0.5,0.506098,0,0.725687
0.5,0.518293,0,0.725375
0.5,0.530488,0,0.724694
0.5,0.542683,0,0.723326
0.5,0.554878,0,0.721631
0.5,0.567073,0,0.718917
0.5,0.579268,0,0.716015
0.5,0.591463,0,0.711756
0.5,0.603659,0,0.707505
0.5,0.615854,0,0.701541
0.5,0.628049,0,0.695825
0.5,0.640244,0,0.688023
0.5,0.652439,0,0.680743
0.5,0.664634,0,0.670983
0.5,0.676829,0,0.662052
0.5,0.689024,0,0.65023
0.5,0.701219,0,0.63957
0.5,0.713415,0,0.625587
0.5,0.72561,0,0.613127
0.5,0.737805,0,0.596895
0.5,0.75,0,0.582569
0.5,0.762195,0,0.564004
0.5,0.77439,0,0.547752
0.5,0.786585,0,0.526776
0.5,0.798781,0,0.508542
0.5,0.810976,0,0.485078
0.5,0.823171,0,0.46481
0.5,0.835366,0,0.438789
0.5,0.847561,0,0.416437
0.5,0.859756,0,0.387789
0.5,0.871951,0,0.363308
0.5,0.884146,0,0.331967
0.5,0.896341,0,0.305313
0.5,0.908537,0,0.271215
0.5,0.920732,0,0.242348
0.5,0.932927,0,0.20543
0.5,0.945122,0,0.174313
0.5,0.957317,0,0.134514
0.5,0.969512,0,0.101109
0.5,0.981707,0,0.0583757
0.5,1,0,nan
