Points_0,Points_1,Points_2,vel1
0.5,0,0,0.0620315
0.5,0.0182927,0,0.140214
0.5,0.0304878,0,0.258876
0.5,0.0426829,0,0.335437
0.5,0.054878,0,0.448953
0.5,0.0670732,0,0.523516
0.5,0.0792683,0,0.632039
0.5,0.0914634,0,0.704373
0.5,0.103659,0,0.807998
0.5,0.115854,0,0.877916
0.5,0.128049,0,0.976695
0.5,0.140244,0,1.04403
0.5,0.152439,0,1.13799
0.5,0.164634,0,1.2026
0.5,0.176829,0,1.29172
0.5,0.189024,0,1.35348
0.5,0.20122,0,1.43774
0.5,0.213415,0,1.4965
0.5,0.22561,0,1.57585
0.5,0.237805,0,1.63148
0.5,0.25,0,1.70586
0.5,0.262195,0,1.75822
0.5,0.27439,0,1.82753
0.5,0.286585,0,1.87647
0.5,0.298781,0,1.94059
0.5,0.310976,0,1.98595
0.5,0.323171,0,2.04474
0.5,0.335366,0,2.08633
0.5,0.347561,0,2.13961
0.5,0.359756,0,2.17721
0.5,0.371951,0,2.22474
0.5,0.384146,0,2.25811
0.5,0.396341,0,2.29958
0.5,0.408537,0,2.32838
0.5,0.420732,0,2.3634
0.5,0.432927,0,2.38719
0.5,0.445122,0,2.41516
0.5,0.457317,0,2.43328
0.5,0.469512,0,2.45327
0.5,0.481707,0,2.46458
0.5,0.493902,0,2.47501
0.5,0.506098,0,2.47501
0.5,0.518293,0,2.46458
0.5,0.530488,0,2.45327
0.5,0.542683,0,2.43328
0.5,0.554878,0,2.41516
0.5,0.567073,0,2.38719
0.5,0.579268,0,2.3634
0.5,0.591463,0,2.32838
0.5,0.603659,0,2.29958
0.5,0.615854,0,2.25811
0.5,0.628049,0,2.22474
0.5,0.640244,0,2.17721
0.5,0.652439,0,2.13961
0.5,0.664634,0,2.08633
0.5,0.676829,0,2.04474
0.5,0.689024,0,1.98595
0.5,0.701219,0,1.94059
0.5,0.713415,0,1.87647
0.5,0.72561,0,1.82753
0.5,0.737805,0,1.75822
0.5,0.75,0,1.70586
0.5,0.762195,0,1.63148
0.5,0.77439,0,1.57585
0.5,0.786585,0,1.4965
0.5,0.798781,0,1.43774
0.5,0.810976,0,1.35348
0.5,0.823171,0,1.29172
0.5,0.835366,0,1.2026
0.5,0.847561,0,1.13799
0.5,0.859756,0,1.04403
0.5,0.871951,0,0.976695
0.5,0.884146,0,0.877916
0.5,0.896341,0,0.807998
0.5,0.908537,0,0.704373
0.5,0.920732,0,0.632039
0.5,0.932927,0,0.523516
0.5,0.945122,0,0.448953
0.5,0.957317,0,0.335438
0.5,0.969512,0,0.258876
0.5,0.981707,0,0.140214
0.5,1,0,nan
