Points_0,Points_1,Points_2,vel1
0.5,0,0,0.017793
0.5,0.0182927,0,0.0425431
0.5,0.0304878,0,0.0763191
0.5,0.0426829,0,0.0999762
0.5,0.054878,0,0.131908
0.5,0.0670732,0,0.154428
0.5,0.0792683,0,0.184533
0.5,0.0914634,0,0.205896
0.5,0.103659,0,0.234193
0.5,0.115854,0,0.254382
0.5,0.128049,0,0.280885
0.5,0.140244,0,0.299887
0.5,0.152439,0,0.324611
0.5,0.164634,0,0.342411
0.5,0.176829,0,0.365368
0.5,0.189024,0,0.381955
0.5,0.20122,0,0.403156
0.5,0.213415,0,0.41852
0.5,0.22561,0,0.437975
0.5,0.237805,0,0.452105
0.5,0.25,0,0.469825
0.5,0.262195,0,0.482712
0.5,0.27439,0,0.498704
0.5,0.286585,0,0.510341
0.5,0.298781,0,0.524613
0.5,0.310976,0,0.534991
0.5,0.323171,0,0.547552
0.5,0.335366,0,0.556663
0.5,0.347561,0,0.567521
0.5,0.359756,0,0.575357
0.5,0.371951,0,0.584519
0.5,0.384146,0,0.591073
0.5,0.396341,0,0.598546
0.5,0.408537,0,0.60381
0.5,0.420732,0,0.609604
0.5,0.432927,0,0.613569
0.5,0.445122,0,0.617692
0.5,0.457317,0,0.620348
0.5,0.469512,0,0.622812
0.5,0.481707,0,0.624145
0.5,0.493902,0,0.624963
0.5,0.506098,0,0.624963
0.5,0.518293,0,0.624145
0.5,0.530488,0,0.622812
0.5,0.542683,0,0.620348
0.5,0.554878,0,0.617692
0.5,0.567073,0,0.613569
0.5,0.579268,0,0.609604
0.5,0.591463,0,0.60381
0.5,0.603659,0,0.598546
0.5,0.615854,0,0.591073
0.5,0.628049,0,0.584519
0.5,0.640244,0,0.575357
0.5,0.652439,0,0.567521
0.5,0.664634,0,0.556663
0.5,0.676829,0,0.547552
0.5,0.689024,0,0.534991
0.5,0.701219,0,0.524613
0.5,0.713415,0,0.510341
0.5,0.72561,0,0.498704
0.5,0.737805,0,0.482712
0.5,0.75,0,0.469825
0.5,0.762195,0,0.452105
0.5,0.77439,0,0.437975
0.5,0.786585,0,0.41852
0.5,0.798781,0,0.403156
0.5,0.810976,0,0.381955
0.5,0.823171,0,0.365368
0.5,0.835366,0,0.342411
0.5,0.847561,0,0.324611
0.5,0.859756,0,0.299887
0.5,0.871951,0,0.280885
0.5,0.884146,0,0.254382
0.5,0.896341,0,0.234193
0.5,0.908537,0,0.205896
0.5,0.920732,0,0.184533
0.5,0.932927,0,0.154428
0.5,0.945122,0,0.131908
0.5,0.957317,0,0.0999762
0.5,0.969512,0,0.0763191
0.5,0.981707,0,0.0425431
0.5,1,0,nan
