Points_0,Points_1,Points_2,vel1
0.5,0,0,0.0177912
0.5,0.0182927,0,0.0234005
0.5,0.0304878,0,0.0559056
0.5,0.0426829,0,0.0663383
0.5,0.054878,0,0.0928299
0.5,0.0670732,0,0.106361
0.5,0.0792683,0,0.12996
0.5,0.0914634,0,0.14401
0.5,0.103659,0,0.166409
0.5,0.115854,0,0.180259
0.5,0.128049,0,0.201647
0.5,0.140244,0,0.21519
0.5,0.152439,0,0.235607
0.5,0.164634,0,0.24878
0.5,0.176829,0,0.268242
0.5,0.189024,0,0.280993
0.5,0.20122,0,0.299505
0.5,0.213415,0,0.311789
0.5,0.22561,0,0.329345
0.5,0.237805,0,0.34112
0.5,0.25,0,0.357708
0.5,0.262195,0,0.368932
0.5,0.27439,0,0.38453
0.5,0.286585,0,0.395161
0.5,0.298781,0,0.409742
0.5,0.310976,0,0.419732
0.5,0.323171,0,0.43326
0.5,0.335366,0,0.442559
0.5,0.347561,0,0.454988
0.5,0.359756,0,0.463537
0.5,0.371951,0,0.474804
0.5,0.384146,0,0.482533
0.5,0.396341,0,0.49256
0.5,0.408537,0,0.49938
0.5,0.420732,0,0.508057
0.5,0.432927,0,0.513847
0.5,0.445122,0,0.521014
0.5,0.457317,0,0.525594
0.5,0.469512,0,0.53098
0.5,0.481707,0,0.534027
0.5,0.493902,0,0.537185
0.5,0.506098,0,0.537185
0.5,0.518293,0,0.534027
0.5,0.530488,0,0.53098
0.5,0.542683,0,0.525594
0.5,0.554878,0,0.521014
0.5,0.567073,0,0.513847
0.5,0.579268,0,0.508057
0.5,0.591463,0,0.49938
0.5,0.603659,0,0.49256
0.5,0.615854,0,0.482533
0.5,0.628049,0,0.474804
0.5,0.640244,0,0.463537
0.5,0.652439,0,0.454988
0.5,0.664634,0,0.442559
0.5,0.676829,0,0.43326
0.5,0.689024,0,0.419732
0.5,0.701219,0,0.409742
0.5,0.713415,0,0.395161
0.5,0.72561,0,0.38453
0.5,0.737805,0,0.368932
0.5,0.75,0,0.357708
0.5,0.762195,0,0.34112
0.5,0.77439,0,0.329345
0.5,0.786585,0,0.311789
0.5,0.798781,0,0.299505
0.5,0.810976,0,0.280993
0.5,0.823171,0,0.268242
0.5,0.835366,0,0.24878
0.5,0.847561,0,0.235607
0.5,0.859756,0,0.21519
0.5,0.871951,0,0.201647
0.5,0.884146,0,0.180259
0.5,0.896341,0,0.166409
0.5,0.908537,0,0.14401
0.5,0.920732,0,0.12996
0.5,0.932927,0,0.106361
0.5,0.945122,0,0.0928298
0.5,0.957317,0,0.0663383
0.5,0.969512,0,0.0559056
0.5,0.981707,0,0.0234005
0.5,1,0,nan
